"adcbbca64d2d78a77b378db487717e38","X83e200e6aa49b79396f052dd3db97e6b","c95c29828395a6f53f96e96619916532","cb3a451b5f9718c07b491a77b14ef21f","cd3909b22b87684aafd93fcb66630f52","X4c294f9a88e58b0e40a2b19f4658c209","db424461aa669374102fa17ac4539038","b9d614025bf292dfb0db9f43d7357e14","X6c2a9a5a94270ee454cfb2dea1d31449","e492ea34ac6862586016b7aef65e35b9","aba8c17e313c37c938998554292445ba","X854a42379977827cb58c0eb74385690e","f02f4c216369c6a2e4ee447ffe47fddd","X7e537c12b9af4d0e06d9c229f25d2176","X5203c525a0d0a6c831885ac86a569081","d57501b44a85f6263ef7c36c9256fb92","bc4e3995ef291067acb3295ec94e26f1","X2788faa17a6772b439ab79a71363f4bb","df5dc83b05bd8f335e08f17b5a4c56e9","a34ba93b4dc7cc8362f362f9d520321b","X5aa6addb5feb5f7301d7f21bab3e35e8","X6377e612d1fdfdadf18255fc486ce608","X2cd30e9eda91687ba73dcae76f4f1880","f4d6321c5a128364c3ec9543e21e7cde","X4c7a497eca1fa3081f152adbbce602fb","X674cc9dfd5b8ed175ac63bc9348f2759","X4b594c8bf63bbb3f04615c7b142e1e14","X89966a5669a7741fbe4f099c918f0cf1","X2666fa031db96860468588bef43bbb61","X767ae4be31c7c3b75e743a94f0214ae0","e8165c825d679874a9c71c16408fbbfd","X5a8f0b46a094391e9436f875639034e9","f4ddba285154bdd47f4dc510c2038305","X28140dabde227041d333d23976ce302f","fd76d28f77b2e33857a2df3871c3cc53","X01353923e2e6219198b8d092099e0d9f","deaf8029eba24ec9cfc9f77e9689423e","X6c14479fad19a60d42ec33c478c66afb","bb73a54327f61f691fd1eeb5f230e02c","c744d1d19f0607a409fed8eeebc5cff1","X5f8bc9840120e2fcddfb562429e6f0eb","X9104c4b42757f253f35768d341c2a32b","X679658942f667409a7b9907845816380","dacf22eb1a2065568c1175d1a76c9dc7","X67f3fcab907a9ed2927806173348b4af","X879815b1626853f4af4a4f0e85703fd2","X4f359f019c5e22e6bd5bb03534b84411","be5f7561425c2fdf15e1347047e3a7ba","b81a5b1c47a7eb2b73b4ed9fa1d9b464","X0adb29e1ef7ab1df5fc551a2511c05ba","X40178a7b2400cd0be400a0e1069762fa","X1bc8c1807a800c2c8220ca1a13e4fdb9","f6bf584c4081d96e0ad688a16a806432","a6499c331ca652a5c070f51ef025b901","f93b764d7ef2fc78c19f2d419cc3c5e5","f3a6c6bd550ccaf6c3b68f0c996e1225","X94d50b1f2833352b7cb2e07533944c20","e06356a1143ac7bc41c0bc6aea20d3ae","X82d659604fd62ef71fa6449465d6d8d4","dbc7407c0c194353c292d8aa95922b3a","X3129410b374e76459623a9edb0f6413d","ba197f79f441eb350a6366b5742854e1","X7e501bf21cd1a7090a5282791c520d8b","X6090c45400591b19f181add95bb578f2","X2b423d4a16ef1539110bd1a85db1263d","X316678fa9cd140393f2c97e86e22438f","X6c9635ea49acec132fb91c161c73e041","b2b3c0f0b487edaf28d7a348b354cdcb","X4c37137a09c7b0c510bc7fd05f4d2eda","X05469e3983d48719f2809a67d7f565df","X5b599be724e69b799572618d657d636c","X5ac573def95575947f986f0da3a97a6e","bcae8f7d2c42acfe3559c665f68f6320","X727b6b6cf7c088343cdffe253b5db3df","X31fb9c4004ca6f4d986d5d91745dbca2","X057b594a0df41c1752943ca6e992c826","X9fae180100965f03f0705863528e069d","X2b593463d8985ac4982a9aa29d2ca881","e6027fe97fc1dd3a662ba33605bd7eae","febc72c8f1a103badab63be01c614c31","e5196607556bbe9599a2991e537380c7","acbb69f2765ac3cdfee0c072acb0acfc","X61dcbb58a35735e631793862afa39fe6","X429fd8943b73988d3fde3ca9bc54d07c","X81b50cbc69b355d6a2207d370e9634c5","ffc36e27c82042664a16bcd4d380b286","X353dc9e514176baefc24b952e1309bba","X4a7f867d55034fd3b2b4b28e0b1dda36","X7b361820964e8c6ced5aec81f54bcfea","f8fef0cf8011b5b04640cc5c3ab79a3f","fb7f0fc29144d404cf96d40f1350694f","SampleID","community.number","community.name","chem.code","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","complexity","well","plate"
554,203,73,224,2709,0,2030,0,0,0,564,0,0,0,26,0,0,1131,0,0,0,329,500,22,0,240,0,0,0,145,0,0,0,18,0,2,0,0,123,67,0,0,0,0,0,158,0,150,0,0,0,23,81,0,0,0,57,0,0,0,0,0,0,0,48,26,23,13,0,0,15,0,18,16,0,52,24,29,11,8,0,25,25,14,14,0,26,6,0,0,0,"c04w1D4",4,"R_ID_7.16_4_R10(1)_TSS","AT",1,0,0,0,0,0,0,1,2,"D4",1
570,163,58,205,2282,0,2081,0,0,0,609,0,0,0,25,0,0,1317,0,0,0,404,356,45,0,253,29,0,0,297,0,0,0,0,0,11,0,0,107,92,0,0,0,0,0,156,0,134,0,0,0,19,48,0,0,0,55,0,0,0,0,0,0,0,58,36,21,15,0,0,21,0,35,22,0,51,31,29,23,6,0,14,5,17,13,6,15,16,2,0,0,"c04w1D6",4,"R_ID_7.16_4_R10(1)_TSS","GI",0,0,0,1,1,0,0,0,2,"D6",1
337,200,66,195,2404,0,2037,0,0,0,628,0,0,0,23,0,0,1284,0,0,0,368,453,23,0,306,0,0,0,428,0,0,0,18,0,5,0,0,114,111,0,0,0,0,0,99,0,127,0,0,0,17,49,0,0,0,75,0,5,0,0,0,0,0,70,62,26,11,17,0,0,0,29,17,0,41,29,35,6,3,0,10,5,16,10,2,6,9,0,0,0,"c04w1E2",4,"R_ID_7.16_4_R10(1)_TSS","G",0,0,0,1,0,0,0,0,1,"E2",1
351,173,57,204,2680,0,1927,0,0,0,636,0,0,0,27,0,0,1384,0,0,0,464,415,31,0,295,19,0,0,133,0,0,0,0,0,7,0,0,124,128,0,0,0,0,0,110,0,132,0,0,0,18,70,0,0,0,75,0,4,0,0,0,0,0,100,18,37,11,26,0,10,0,42,20,0,45,29,22,13,3,0,8,15,9,0,7,16,10,0,2,0,"c04w1F2",4,"R_ID_7.16_4_R10(1)_TSS","I",0,0,0,0,1,0,0,0,1,"F2",1
546,163,81,198,2641,0,1992,0,0,0,537,0,0,0,23,0,0,1244,0,0,0,300,532,19,0,244,0,0,0,247,0,0,0,12,0,4,0,0,143,63,0,0,0,0,0,160,0,166,0,0,0,25,61,0,0,0,73,0,5,0,0,0,0,0,76,37,27,0,0,0,10,0,33,27,0,37,26,18,9,0,0,18,19,12,7,0,22,9,1,4,0,"c04w1F5",4,"R_ID_7.16_4_R10(1)_TSS","DI",0,0,1,0,1,0,0,0,2,"F5",1
290,203,100,241,1933,0,2420,0,0,0,674,0,0,0,40,0,0,1411,0,0,0,462,291,25,0,352,27,0,0,148,0,0,0,12,0,4,0,0,130,242,0,0,0,0,0,138,0,150,0,0,0,59,63,0,0,0,60,0,9,0,0,0,0,0,92,25,41,12,0,0,4,0,25,16,0,54,23,18,5,7,0,9,8,16,4,0,19,7,1,2,0,"c04w1G2",4,"R_ID_7.16_4_R10(1)_TSS","M",0,0,0,0,0,1,0,0,1,"G2",1
196,260,83,229,2927,0,1731,0,0,0,846,0,0,0,28,0,0,669,0,0,0,542,686,30,0,360,0,0,0,184,0,0,0,20,0,3,0,0,210,132,0,0,0,0,0,105,0,97,0,0,0,15,94,0,0,0,108,0,5,0,0,0,0,0,47,37,73,0,29,0,11,0,21,7,0,19,39,33,4,2,0,12,14,9,0,2,0,8,0,2,0,"c04w2G10",4,"R_ID_7.16_4_R10(1)_TSS","ADIT",1,0,1,0,1,0,0,1,4,"G10",2
73,307,108,35,4686,0,339,0,0,0,309,0,0,0,93,0,0,181,0,0,0,94,1323,139,0,84,0,0,0,510,0,0,0,100,0,5,0,0,62,445,0,0,0,0,0,76,0,69,0,0,0,0,163,0,0,0,27,0,0,0,0,0,0,0,15,73,121,0,0,0,141,0,0,58,0,25,21,18,0,0,0,39,26,32,4,45,14,2,2,0,0,"c04w3E8",4,"R_ID_7.16_4_R10(1)_TSS","GIOT",0,0,0,1,1,0,1,1,4,"E8",3
305,212,68,221,2363,0,1921,0,0,0,912,0,0,0,28,0,0,677,0,0,0,620,656,36,0,422,17,0,0,254,0,0,0,0,0,0,0,0,140,158,0,0,0,0,0,92,0,126,0,0,0,33,78,0,0,0,103,0,4,0,0,0,0,0,85,33,74,0,45,0,17,0,17,11,0,35,41,29,11,7,0,4,14,6,7,5,0,38,1,0,0,"c04w6B2",4,"R_ID_7.16_4_R10(1)_TSS","A",1,0,0,0,0,0,0,0,1,"B2",6
363,213,75,185,2279,0,1863,0,0,0,759,0,0,0,46,0,0,962,0,0,0,539,657,22,0,409,33,0,0,186,0,0,0,12,0,2,0,0,181,135,0,0,0,0,0,186,0,155,0,0,0,17,75,0,0,0,47,0,5,0,0,0,0,0,77,26,55,0,23,0,28,0,35,20,0,51,38,23,25,6,0,0,22,19,0,0,0,12,0,3,0,"c04w6B5",4,"R_ID_7.16_4_R10(1)_TSS","CM",0,1,0,0,0,1,0,0,2,"B5",6
258,218,71,168,2676,0,1658,0,0,0,844,0,0,0,33,0,0,797,0,0,0,543,783,26,0,427,29,0,0,219,0,0,0,19,0,5,0,0,208,130,0,0,0,0,0,106,0,93,0,0,0,16,93,0,0,0,86,0,11,0,0,0,0,0,56,32,64,0,30,0,8,0,36,6,0,27,31,33,20,7,0,9,13,10,0,0,0,12,0,2,0,"c04w6D2",4,"R_ID_7.16_4_R10(1)_TSS","D",0,0,1,0,0,0,0,0,1,"D2",6
493,164,53,167,2348,0,1658,0,0,0,768,0,0,0,18,0,0,906,0,0,0,424,679,25,0,339,22,0,0,433,0,0,0,15,0,3,0,0,187,118,0,0,0,0,0,187,0,99,0,0,0,6,111,0,0,0,75,0,0,0,0,0,0,0,97,62,52,0,28,0,15,0,36,8,0,42,34,32,19,6,0,15,8,8,18,0,27,6,2,3,0,"c04w6D6",4,"R_ID_7.16_4_R10(1)_TSS","GI",0,0,0,1,1,0,0,0,2,"D6",6
334,168,62,191,2517,0,1913,0,0,0,790,0,0,0,18,0,0,1085,0,0,0,571,257,25,0,343,19,0,0,338,0,0,0,0,0,8,0,0,167,191,0,0,0,0,0,88,0,129,0,0,0,22,62,0,0,0,71,0,4,0,0,0,0,0,79,61,79,0,33,0,6,0,30,12,0,57,39,20,17,8,0,10,0,16,4,2,17,29,0,0,0,"c04w6E2",4,"R_ID_7.16_4_R10(1)_TSS","G",0,0,0,1,0,0,0,0,1,"E2",6
333,271,87,185,2750,0,1759,0,0,0,703,0,0,0,0,0,0,692,0,0,0,509,744,54,0,358,0,0,0,221,0,0,0,0,0,0,0,0,213,106,0,0,0,0,0,205,0,117,0,0,0,0,85,0,0,0,85,0,0,0,0,0,0,0,56,39,64,9,0,0,22,0,17,8,0,33,24,22,42,12,0,15,17,12,14,0,0,5,9,0,0,"c04w6E3",4,"R_ID_7.16_4_R10(1)_TSS","AD",1,0,1,0,0,0,0,0,2,"E3",6
323,258,97,144,3559,0,1421,0,0,0,596,0,0,0,43,0,0,633,0,0,0,345,588,33,0,260,0,0,0,329,0,0,0,16,0,0,0,0,273,83,0,0,0,0,0,186,0,77,0,0,0,5,82,0,0,0,80,0,9,0,0,0,0,0,69,43,25,19,0,0,13,0,20,11,0,37,29,34,21,6,0,15,14,16,5,0,10,6,1,0,0,"c04w7F7",4,"R_ID_7.16_4_R10(1)_TSS","ACDM",1,1,1,0,0,1,0,0,4,"F7",7
89,161,69,26,4599,0,289,0,0,0,156,0,0,0,39,3,0,124,0,0,0,85,1547,71,0,55,31,0,0,1299,0,0,0,43,0,11,0,0,22,265,0,0,0,0,0,0,0,75,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,7,199,59,0,0,0,70,0,0,95,0,13,16,14,7,0,0,42,24,12,2,10,9,1,0,0,0,"c04w8D5",4,"R_ID_7.16_4_R10(1)_TSS","CGMO",0,1,0,1,0,1,1,0,4,"D5",8
590,19,0,109,11,0,21,0,73,0,21,0,0,81,0,0,58,0,0,6584,0,0,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,145,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,38,22,0,0,0,0,0,0,0,0,0,0,"c05w000",5,"R_ID_7.16_5_R10(1)_TSS","Frozen Starting Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00",0
4151,192,110,1374,8,0,162,0,2433,0,194,0,0,239,0,0,214,0,0,225,0,91,0,0,0,0,0,325,0,0,0,0,0,28,0,4,0,0,0,0,4,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,"c05w13G4",5,"R_ID_7.16_5_R10(1)_TSS","CGIM",0,1,0,1,1,1,0,0,4,"G4",13
4407,194,81,1102,7,0,145,0,2218,0,204,0,0,351,0,0,163,0,0,382,0,63,0,0,0,0,0,298,0,0,0,0,0,23,0,8,0,0,0,0,0,0,0,31,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"c05w15C6",5,"R_ID_7.16_5_R10(1)_TSS","Control",0,0,0,0,0,0,0,0,0,"C6",15
4079,173,70,1355,6,0,164,0,1972,0,130,0,0,251,0,0,204,0,0,840,0,42,0,0,0,0,0,294,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,52,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"c05w15E8",5,"R_ID_7.16_5_R10(1)_TSS","Control",0,0,0,0,0,0,0,0,0,"E8",15
4137,173,110,1385,3,0,179,0,2108,0,221,0,0,382,0,0,182,0,0,291,0,51,1,0,0,0,0,332,0,0,0,0,0,12,0,4,0,0,0,0,4,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,2,0,"c05w16C3",5,"R_ID_7.16_5_R10(1)_TSS","T",0,0,0,0,0,0,0,1,1,"C3",16
139,320,165,168,271,0,24,0,6466,0,49,0,0,1118,0,0,21,0,0,0,0,21,0,31,0,0,0,866,0,0,0,0,0,94,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,77,0,0,0,0,0,0,0,0,0,1,"c05w16C5",5,"R_ID_7.16_5_R10(1)_TSS","CO",0,1,0,0,0,0,1,0,2,"C5",16
4577,164,95,1271,4,0,176,0,2286,0,194,0,0,291,0,0,184,0,0,137,0,80,0,0,0,0,0,315,0,0,0,0,0,16,0,2,0,0,0,0,11,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,"c05w1E2",5,"R_ID_7.16_5_R10(1)_TSS","G",0,0,0,1,0,0,0,0,1,"E2",1
4208,148,72,1509,3,0,196,0,2285,0,218,0,0,301,0,0,218,0,0,158,0,76,0,0,0,0,0,338,0,0,0,0,0,17,0,2,0,0,0,0,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,"c05w1F2",5,"R_ID_7.16_5_R10(1)_TSS","I",0,0,0,0,1,0,0,0,1,"F2",1
14,102,42,0,62,0,0,0,6060,0,0,0,0,737,0,0,0,0,0,0,0,0,0,15,0,0,0,859,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,"c05w3B4",5,"R_ID_7.16_5_R10(1)_TSS","CDIO",0,1,1,0,1,0,1,0,4,"B4",3
3785,149,78,1368,8,0,170,0,1916,0,438,0,0,254,0,0,190,0,0,701,0,72,0,0,0,0,0,288,0,0,0,0,0,18,0,6,0,0,0,0,8,0,0,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,"c05w3C2",5,"R_ID_7.16_5_R10(1)_TSS","AGMT",1,0,0,1,0,1,0,1,4,"C2",3
3706,128,86,1546,2,7,204,0,2190,0,97,0,0,158,0,0,246,0,0,208,0,36,0,0,0,0,0,338,0,0,0,0,0,17,0,0,0,0,0,0,5,0,0,39,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,"c05w6B2",5,"R_ID_7.16_5_R10(1)_TSS","A",1,0,0,0,0,0,0,0,1,"B2",6
5028,120,53,1502,5,0,180,0,1794,0,124,0,0,135,0,0,204,0,0,347,0,53,0,0,0,0,0,242,0,0,0,0,0,20,0,2,0,0,0,0,2,0,0,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"c05w6F4",5,"R_ID_7.16_5_R10(1)_TSS","CG",0,1,0,1,0,0,0,0,2,"F4",6
3984,209,87,1842,9,0,225,0,1935,0,180,0,0,156,0,0,282,0,0,270,0,29,0,0,0,0,0,296,0,0,0,0,0,24,0,2,0,0,0,0,4,0,0,51,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,"c05w6G2",5,"R_ID_7.16_5_R10(1)_TSS","M",0,0,0,0,0,1,0,0,1,"G2",6
39,273,132,280,60,0,44,0,7173,0,14,0,0,548,0,0,58,0,0,0,0,0,0,27,0,0,0,1086,0,0,0,0,0,44,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2,"c05w7D11",5,"R_ID_7.16_5_R10(1)_TSS","ADOT",1,0,1,0,0,0,1,1,4,"D11",7
55,16,9,2590,0,168,357,42,0,0,30,6,45,56,0,0,2501,116,0,2098,0,0,0,2,12,19,0,0,6,0,0,0,0,0,0,0,0,0,0,0,285,0,254,64,0,0,82,0,0,0,0,16,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,0,0,0,0,0,0,0,0,35,38,0,0,0,3,0,4,0,7,0,0,"c06w000",6,"R_ID_7.16_6_R5(1)_TSS","Frozen Starting Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00",0
4,73,147,25,0,4054,8,2362,0,0,0,0,1378,823,23,0,0,5,0,4,0,0,0,2,234,0,0,0,0,0,509,0,0,0,0,14,0,0,0,0,70,211,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,"c06w10D4",6,"R_ID_7.16_6_R5(1)_TSS","ACDGIMOT",1,1,1,1,1,1,1,1,8,"D4",10
10,159,279,393,0,4760,68,445,6,0,0,0,1664,888,29,0,52,5,0,16,0,0,0,3,203,0,0,0,0,0,635,0,0,0,0,16,0,0,0,0,8,273,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,"c06w11B3",6,"R_ID_7.16_6_R5(1)_TSS","O",0,0,0,0,0,0,1,0,1,"B3",11
10,91,200,488,0,4406,77,1054,0,0,0,0,1497,929,28,0,65,0,0,10,0,0,0,8,212,0,0,0,6,0,535,0,0,0,0,21,0,0,0,0,45,252,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,"c06w11B6",6,"R_ID_7.16_6_R5(1)_TSS","DO",0,0,1,0,0,0,1,0,2,"B6",11
147,161,204,1650,0,2655,1041,412,0,0,5,0,908,541,61,0,210,108,0,871,0,0,0,8,135,0,0,0,36,0,177,0,0,0,0,11,0,0,0,0,64,91,0,75,0,0,46,0,0,1,0,0,0,0,48,117,0,0,0,0,0,29,0,0,0,0,0,0,0,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"c06w11C3",6,"R_ID_7.16_6_R5(1)_TSS","T",0,0,0,0,0,0,0,1,1,"C3",11
103,161,181,1502,0,2684,752,565,0,0,5,0,959,563,46,0,187,103,0,1117,0,0,0,3,169,0,0,0,35,0,204,0,0,0,0,21,0,0,0,0,106,95,0,50,0,0,43,0,0,0,0,0,0,0,39,114,0,0,0,0,0,15,0,0,0,0,0,0,0,7,0,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,"c06w11D5",6,"R_ID_7.16_6_R5(1)_TSS","CT",0,1,0,0,0,0,0,1,2,"D5",11
90,117,184,1453,0,2720,773,498,0,0,6,0,956,585,51,0,200,78,0,1332,0,0,0,4,159,5,0,0,38,0,162,0,0,0,0,21,0,0,0,0,75,57,0,61,0,0,50,0,0,0,0,0,0,0,27,152,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"c06w11D7",6,"R_ID_7.16_6_R5(1)_TSS","IT",0,0,0,0,1,0,0,1,2,"D7",11
123,161,183,1739,0,2491,910,512,0,0,7,0,911,509,34,0,256,92,0,1093,0,0,0,5,137,0,0,0,30,0,205,0,0,0,0,21,0,0,0,0,39,63,0,66,0,0,37,0,0,0,0,0,0,0,42,150,0,0,0,0,0,25,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,"c06w11E5",6,"R_ID_7.16_6_R5(1)_TSS","DG",0,0,1,1,0,0,0,0,2,"E5",11
139,146,187,1950,0,1761,967,542,0,0,10,0,595,721,63,0,279,104,0,1213,0,0,0,5,197,5,0,0,50,0,276,0,0,0,0,28,0,0,0,0,107,130,0,69,0,0,61,0,0,2,0,0,0,0,49,82,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,3,0,"c06w11E6",6,"R_ID_7.16_6_R5(1)_TSS","GM",0,0,0,1,0,1,0,0,2,"E6",11
176,146,218,1455,0,2188,1199,392,0,0,23,0,796,665,41,0,216,163,0,1301,0,0,0,0,163,0,0,0,36,0,182,0,0,3,0,14,0,0,0,0,55,67,0,108,0,0,46,0,0,0,0,0,0,0,65,83,0,0,0,0,0,36,0,0,0,0,0,0,0,9,0,19,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,"c06w11F2",6,"R_ID_7.16_6_R5(1)_TSS","I",0,0,0,0,1,0,0,0,1,"F2",11
160,123,181,1803,0,2337,1177,276,0,0,9,0,766,681,47,0,231,146,0,1115,0,0,0,3,153,13,0,0,38,0,154,0,0,0,0,21,0,0,0,0,26,59,0,100,0,0,34,0,0,0,0,0,0,0,80,72,0,0,0,0,0,24,0,0,0,0,0,0,0,6,0,26,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,"c06w11G3",6,"R_ID_7.16_6_R5(1)_TSS","AI",1,0,0,0,1,0,0,0,2,"G3",11
11,91,238,38,0,4341,27,1995,0,0,0,0,1421,940,0,0,8,0,0,10,0,0,0,7,246,0,0,0,0,0,419,0,0,0,0,11,0,0,0,0,8,162,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,"c06w12D9",6,"R_ID_7.16_6_R5(1)_TSS","ACMO",1,1,0,0,0,1,1,0,4,"D9",12
10,92,230,25,0,4560,0,1718,0,0,0,0,1570,1003,0,0,5,0,0,0,0,0,0,3,265,0,0,0,0,0,291,0,0,0,0,20,0,0,0,0,15,148,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,"c06w13F4",6,"R_ID_7.16_6_R5(1)_TSS","CDOT",0,1,1,0,0,0,1,1,4,"F4",13
120,166,226,1716,0,2664,957,443,0,0,11,0,943,478,63,0,264,88,0,949,0,0,0,0,111,0,0,0,31,0,187,0,0,0,0,14,0,0,0,0,71,83,0,64,0,0,52,0,0,0,0,0,0,0,35,91,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,"c06w15E5",6,"R_ID_7.16_6_R5(1)_TSS","Control",0,0,0,0,0,0,0,0,0,"E5",15
179,160,239,1312,17,2666,913,589,0,0,22,0,978,562,51,0,197,161,0,583,0,0,5,0,145,10,0,0,24,0,409,0,0,0,0,15,0,0,0,0,45,183,0,113,0,0,65,0,0,0,0,0,0,0,59,86,0,0,0,0,0,26,0,0,0,0,0,0,0,8,0,15,0,17,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,"c06w16B3",6,"R_ID_7.16_6_R5(1)_TSS","O",0,0,0,0,0,0,1,0,1,"B3",16
150,168,206,1530,4,2121,937,506,0,0,16,0,756,676,56,0,213,116,0,1165,0,0,0,0,183,7,0,0,29,0,390,0,0,4,0,16,0,0,0,0,106,160,0,69,0,0,62,0,0,0,0,0,0,0,49,58,0,0,0,0,0,26,0,0,0,0,0,0,0,11,0,27,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,"c06w16B5",6,"R_ID_7.16_6_R5(1)_TSS","CM",0,1,0,0,0,1,0,0,2,"B5",16
11,141,284,388,0,4198,73,1033,0,0,2,0,1454,925,33,0,73,0,0,4,0,0,0,8,261,0,0,0,7,0,714,0,0,0,0,18,0,0,0,0,41,274,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,"c06w16B6",6,"R_ID_7.16_6_R5(1)_TSS","DO",0,0,1,0,0,0,1,0,2,"B6",16
141,128,188,1484,0,2517,1158,391,0,0,10,0,898,513,45,0,229,144,0,1088,0,0,0,5,126,11,0,0,41,0,190,0,0,0,0,17,0,0,0,0,102,88,0,79,0,0,46,0,0,1,0,0,0,0,57,104,0,0,0,0,0,29,0,0,0,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,"c06w16C2",6,"R_ID_7.16_6_R5(1)_TSS","C",0,1,0,0,0,0,0,0,1,"C2",16
